Fahrzeugklasse;Fahrzeugart_Code;Fahrzeugart;SUV;Marken_Code;Marke;Marke_und_Typ;Typ1;Typ2;Typ3;Typ4;Typengenehmigungs.Nr;Typengenehmigungs.Nr_Zusatz;Typ;Variante;Version;Fahrgestell.Nr_Teil;Karosserieform_Code;Karosserieform;Farbe;Farbe_Zusatz;Sitzplätze;Sitzplätze_vorne;Stehplätze;Leergewicht;Nutzlast;Gesamtgewicht;Gesamtzugsgewicht;Anhängelast;Dachlast;Tankinhalt_Aufbaus;Hubraum;Zylinder;Leistung;Motorkennzeichen;Treibstoff_Code;Treibstoff;Hybridcode;CO2.WLTP;CO2.NEFZ;El.Verbrauch;Emissionscode;Getriebe_Code;Getriebe;Getriebe_Detailcode;Antrieb_Code;Antrieb;Achsen;Erstinverkehrsetzung_Jahr;Erstinverkehrsetzung_Monat;Erstinverkehrsetzung_Kanton;Erstinverkehrsetzung_Staat;Gebrauchtcode;Ersterfassung_Jahr;Ersterfassung_Monat;Schildfarbe_Code;Schildfarbe;Schildart_Code;Schildart;Inverkehrsetzung_Status_Code;Inverkehrsetzung_Kanton;PLZ;Staat_Code;Staat;Datenstand
M1;1;Personenwagen;1;4854;AIWAYS;AIWAYS U5;U5;U5;;;1AP103;;;;;LVXMAXBA9NR......;161;Stationswagen;Grau;Metallic;5;2;0;1845;310;2155;0;0;75;0;0;0;150;;E;Elektrisch;N/A;0;NA;17;A24;M;Mechanisch;M1A;V;Vorderrad;2;2023;5;BE;;;NA;NA;0;Weiss;N;Normalschild;I;BE;26..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;1;4854;AIWAYS;AIWAYS U5;U5;U5;;;1AP103;;;;;LVXMAXBA5NR......;161;Stationswagen;Weiss;;5;2;0;1845;310;2155;3655;1500;75;0;0;0;150;;E;Elektrisch;N/A;0;NA;17;A24;M;Mechanisch;M1A;V;Vorderrad;2;2022;8;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;TG;95..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;1;4854;AIWAYS;AIWAYS U5;U5;U5;;;1AP103;;;;;LVXMAXBAXNR......;161;Stationswagen;Weiss;;5;2;0;1845;310;2155;0;0;75;0;0;0;150;;E;Elektrisch;N/A;0;NA;17;A24;M;Mechanisch;M1A;V;Vorderrad;2;2024;3;LU;;;NA;NA;0;Weiss;N;Normalschild;I;LU;62..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;ALFA ROMEO 147 1.9 16V;147 1.9 16V;147;1.9;16V;1AA402;;;;;ZAR93700003......;163;Limousine;Weiss;;5;2;0;1385;445;1830;0;0;60;0;1910;4;125;;D;Diesel;N/A;0;157;;B04;M;Mechanisch;M6;V;Vorderrad;2;2008;9;VD;;;NA;NA;0;Weiss;N;Normalschild;I;SG;92..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 147 1.9 JTD 100;147 1.9 JTD 100;147;1.9;JTD 100;1AA255;;;;;ZAR93700005......;163;Limousine;Grau;Metallic;5;2;0;1405;405;1810;0;0;50;0;1910;4;74;;D;Diesel;N/A;0;155;;B03;M;Mechanisch;M5;V;Vorderrad;2;2004;11;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;AG;55..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 147 3.2 GTA;147 3.2 GTA;147;3.2;GTA;1AA250;;;;;ZAR93700003......;163;Limousine;Rot;;5;2;0;1458;422;1880;0;0;50;0;3179;6;184;;B;Benzin;N/A;0;287;;B04;M;Mechanisch;M6;V;Vorderrad;2;2003;6;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;AG;56..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 156 2.0 JTS SEL;156 2.0 JTS SEL;156;2;JTS SEL;1AA239;;;;;ZAR93200000......;163;Limousine;Grau;Metallic;5;2;0;1360;445;1805;0;0;50;0;1970;4;122;;B;Benzin;N/A;0;205;;B04;M;Mechanisch;M5A;V;Vorderrad;2;2004;6;VD;;;NA;NA;0;Weiss;N;Normalschild;I;AG;48..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;ALFA ROMEO 156SW 2.0 JTS;156SW 2.0 JTS;156SW;2;JTS;1AA238;;;;;ZAR93200001......;161;Stationswagen;Grau;;5;2;0;1410;440;1850;0;0;50;0;1970;4;122;;B;Benzin;N/A;0;212;;B04;M;Mechanisch;M5;V;Vorderrad;2;2002;9;TI;;;NA;NA;0;Weiss;N;Normalschild;I;GR;65..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 159;159;159;;;;X;;;;ZAR93900007......;163;Limousine;Grau;Metallic;5;2;0;1130;910;2040;0;0;50;0;1955;4;125;;D;Diesel;N/A;0;NA;;B5a;M;Mechanisch;M6;V;Vorderrad;2;2010;3;AG;Italien;A;2020;10;0;Weiss;N;Normalschild;I;AG;56..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 159 1.9 JTD-16V;159 1.9 JTD-16V;159;1.9;JTD-16V;1AA286;;;;;ZAR93900007......;163;Limousine;Schwarz;Metallic;5;2;0;1610;445;2055;0;0;80;0;1910;4;110;;D;Diesel;N/A;0;159;;B04;M;Mechanisch;M6;V;Vorderrad;2;2006;3;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;ZH;81..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;Alfa Romeo 159 1.9JTD 16V;159 1.9JTD 16V;159;1.9JTD;16V;1AA354;;;;;ZAR93900007......;163;Limousine;Weiss;;5;2;0;1565;475;2040;0;0;80;0;1910;4;110;939A2000;D;Diesel;N/A;0;157;;B04;M;Mechanisch;M6;V;Vorderrad;2;2009;9;NE;;;NA;NA;0;Weiss;N;Normalschild;I;AG;50..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;3003;ALFA ROMEO;ALFA ROMEO 159 JTD 150;159 JTD 150;159;JTD;150;X;;;;;ZAR93900007......;161;Stationswagen;Grau;Metallic;5;2;0;1620;470;2090;0;0;0;0;1910;4;110;;D;Diesel;N/A;0;164;;B04;M;Mechanisch;M6;V;Vorderrad;2;2010;6;ZH;Italien;A;2011;7;0;Weiss;N;Normalschild;I;BE;25..;CH;Schweiz;01.07.2024
